WBS 编号,标题,开始,结束,时间（小时）,持续时间,已分配,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,1,时间点,2023/7/12 8:00,2023/9/7 17:00,336.0,2 月 2 天,,,,,,
1,1.1,需求范围评审,2023/7/12 8:00,2023/7/12 17:00,8.0,1 天,灵江,,,,,
2,1.2,需求详细评审,2023/7/18 8:00,2023/7/18 17:00,8.0,1 天,灵江,,,,,
3,1.3,技术方案评审,2023/8/7 8:00,2023/8/7 17:00,8.0,1 天,北海,,,,,
4,1.4,测试用例第一次评审,2023/7/28 8:00,2023/7/28 17:00,8.0,1 天,番薯,,,,,
5,1.5,测试用例第二次评审,2023/8/15 8:00,2023/8/15 17:00,8.0,1 天,番薯,,,,,
6,1.6,第一批提测,2023/8/3 8:00,2023/8/3 17:00,8.0,1 天,北海,,,,,
7,1.7,第二次提测,2023/8/18 8:00,2023/8/18 17:00,8.0,1 天,北海,,,,,
8,1.8,Pre-SaaS上线,2023/9/7 8:00,2023/9/7 17:00,8.0,1 天,番薯,,,,,
9,2,第一批开发,2023/7/24 8:00,2023/8/2 17:00,64.0,1 周 3 天,,,,,,
10,2.1,新增oushu目标表,2023/7/24 8:00,2023/7/26 17:00,24.0,3 天,,,,,,
11,2.1.1,【后端】,2023/7/24 8:00,2023/7/25 17:00,16.0,2 天,二十,,,,,
12,2.1.2,【前端】,2023/7/26 8:00,2023/7/26 17:00,8.0,1 天,奇铭,,,,,
13,2.2,starrocks结果表支持更新模式,2023/7/26 8:00,2023/7/27 12:00,12.0,1 天 4 小时,,,,,,
14,2.2.1,【后端】,2023/7/26 8:00,2023/7/26 17:00,8.0,1 天,二十,,,,,
15,2.2.2,【前端】,2023/7/27 8:00,2023/7/27 12:00,4.0,4 小时,奇铭,,,,,
16,2.2.3,【FlinkX】,2023/7/26 8:15,2023/7/27 8:15,8.0,1 天,六六,,,,,
17,2.3,向导模式各种数据源开放自定义参数配置,2023/7/24 8:00,2023/7/27 17:00,32.0,4 天,,,,,,
18,2.3.1,【后端】,2023/7/27 8:00,2023/7/27 17:00,8.0,1 天,二十,,,,,
19,2.3.2,【前端】,2023/7/24 8:00,2023/7/25 17:00,16.0,2 天,奇铭,,,,,
20,2.4,源表新增upsert kafka数据源,2023/7/25 8:00,2023/7/28 17:00,32.0,4 天,,,,,,
21,2.4.1,【FlinkX】,2023/7/27 8:00,2023/7/28 17:00,16.0,2 天,渡劫,,,,,
22,2.4.2,【后端】,2023/7/25 8:00,2023/7/27 17:00,24.0,3 天,水饺,,,,,
23,2.4.3,【前端】,2023/7/27 13:00,2023/7/28 17:00,12.0,1 天 4 小时,奇铭,,,,,
24,2.5,日志打印中的业务数据问题,2023/7/24 8:00,2023/7/24 17:00,8.0,1 天,,,,,,
25,2.5.1,【FlinkX】,2023/7/24 8:00,2023/7/24 17:00,8.0,1 天,先醒,,,,,
26,2.6,【联调冒烟】,2023/8/2 8:00,2023/8/2 17:00,8.0,1 天,北海,,,,,
27,3,第二批开发,2023/7/25 8:00,2023/8/17 17:00,144.0,3 周 3 天,,,,,,
28,3.1,任务运维中心优化,2023/7/28 8:00,2023/8/1 17:00,24.0,3 天,,,,,,
29,3.1.1,【后端】,2023/7/28 8:00,2023/8/1 17:00,24.0,3 天,水饺,,,,,
30,3.1.2,【前端】,2023/7/28 8:00,2023/7/28 17:00,8.0,1 天,空山,,,,,
31,3.2,任务导入导出实现方案优化,2023/8/3 8:00,2023/8/14 17:00,64.0,1 周 3 天,,,,,,
